Scan ID,Attendee ID,First Name,Last Name,Title,Company,Email,Phone,Address,City,State,Postal Code,Country,Lead Score,Qualifiers,Notes,Timestamp,Session ID
b2b0525c-d1a5-45c7-b578-bc5eeca628a1,04f9df95-4c2b-4172-b558-ab1809240b9f,Veronica,Smith,Jewellery designer,"Rangel, Moody and Patterson",joseph54@example.net,264-829-1641,11028 Garcia Wall Suite 434,East Joseph,MP,25557,Palau,40,deliver bleeding-edge systems,Condition free door difference.,2025-09-04T14:27:25.416742,BRK2-377
60aff72c-a57b-43b4-8c77-92ccc5b9af9c,0e6f3eb4-fea0-4793-ad5a-a9b671f244c3,Daniel,King,Sports development officer,Morris Ltd,josephschneider@example.net,904.441.7240x59375,1556 Olivia Flat,Joseville,MI,19056,Burkina Faso,65,integrate back-end eyeballs,Push nature quickly appear air gas run.,2025-09-20T12:49:35.719953,BRK2-377
2474a220-856a-4d57-b030-9206ab4e2bde,316dd865-7f25-42d8-85fe-e081795366d9,Christina,Williams,"Buyer, retail","Johnston, Woods and Wallace",nathan88@example.com,(888)357-7731x944,7065 Henry Glens,East Patrickshire,IN,40062,Niger,86,revolutionize cutting-edge initiatives,Brother five worker identify.,2025-01-11T10:56:56.801642,BRK2-377
203a598c-3db4-48d1-8b2a-2bc41c3be396,84cd19c4-079b-4b43-82d4-cbc7f931a6d5,David,Harper,"Surveyor, building control","Meyers, Edwards and Smith",jenniferjohnson@example.net,273.892.5002,57177 Vincent Via Suite 777,West Annette,WA,85284,Brazil,57,streamline seamless action-items,Several also even door.,2025-05-02T23:25:00.503956,BRK2-377
e3ab007f-9001-4faf-8eaf-b6be53e3f147,0884b3d5-dc7a-41b6-86ec-4a82e6f7b77c,Samantha,Perez,English as a second language teacher,"Perez, Cruz and Harvey",bryanhall@example.org,001-654-706-2542,876 Davis Plaza,Port Ruthshire,AR,31189,Burkina Faso,53,enable holistic ROI,Sit hard own long nation.,2025-06-15T04:08:30.839744,BRK2-377
15ae63f3-9078-4857-ac14-ac0163ffe6bd,77935449-2e0a-4f82-b507-e37bceb7bed2,Brian,Strickland,Publishing copy,"Hicks, Thomas and Martinez",angelaclark@example.net,8006934992,2566 Kristy Throughway Suite 137,North Kevinside,UT,85086,Belize,78,repurpose magnetic solutions,Manager million seven tax.,2025-02-14T18:37:57.407982,BRK2-377
dbbf8b28-0ec1-4fc7-a60d-a646c3b50ff3,a7c222b1-06ea-4467-9f34-d0d044abde04,Jamie,Lynn,"Merchandiser, retail",Cunningham PLC,erin72@example.org,001-404-446-0796x0417,446 Green Drives,East Leefurt,KY,38839,Ireland,49,syndicate dynamic paradigms,Education human watch claim.,2025-06-11T06:08:37.676752,BRK2-377
4869fc2f-64b6-4731-b879-aaff5c90aa93,36a27c45-5f11-447a-af9e-6860c0208d33,Emily,West,"Psychologist, prison and probation services","Nash, Oneill and Vega",wagnernicole@example.com,(634)460-2371,552 Brian Fords Apt. 958,East Justin,TX,41104,Vietnam,4,e-enable out-of-the-box functionalities,Join her fall magazine happy store.,2025-07-04T03:06:33.399570,BRK2-377
58f49cd1-7bf5-4541-8d23-9e9e1204b04c,bf0477a7-c5c0-47e1-ae4e-af1cc6f67d47,Angela,Garcia,Social researcher,Miller-Rivera,emilybrady@example.com,(466)324-3571,362 Williams Springs Apt. 239,Matthewchester,IL,84056,India,58,engage bleeding-edge deliverables,Agree record for baby probably degree century.,2025-02-16T17:58:13.540282,BRK2-377
20488ba1-b6cb-4b06-933d-adb419efc8fb,7ccbd289-498c-409a-b0c1-3bff8e2261c8,Steven,Scott,Warehouse manager,Watson-Gonzalez,alyssalopez@example.net,302.317.3031,7400 Sara Plaza,Brandonmouth,GU,59459,Central African Republic,26,evolve innovative supply-chains,Republican then upon allow.,2025-08-08T23:29:13.503886,BRK2-377
